S/NO,County,Subcounty,Education zone,,,School Name/Learning Institution,GPS Cordinate (Latitudes),GPS Cordinate (Longtitudes),Type of school2_Boys; Girls; Mixed,TSC Code,KNEC Code,MOE Code/ Nemis Code,Sponsor, Land area_ acres,"Level_ Pre primary, Primary, Secondary, Special needs, technical colleges,  Diploma Teacher colleges, Certificate Teacher colleges,  University","Type of school1_ Public, Private, Informal","Type of school1_ Public, Private, Informal","Registered, Not registered",,Type of school3_Day; Boarding; Both,"Type of school4_Regular, Integrated, Special Needs School",Enrolment,,,TSC Teachers,,County government (e.g. for Pre primary),,BOM/PTA,,"Total Human resources (Teaching staff , Tsc, BOM/PTA, County)",,,Human resources: Curriculum support, Human resources: Non-Teaching staff,"Infrastructure ( No of classrooms, Labs, Boys toilets, Girls Toilets)",,,,,,,,KCPE (for primary),KCSE (Secondary),PRINCIPALS'CONTACTS 
,,,,Constituency,Ward,,,,,,,,,,,,,,,,,Boys,Girls,Total,Male,female,Male,female,Male,female,TSC,BOM/PTA,Total,,,Classrooms: Permanent,temporary,Laboratories: Permanent,temporary,Boys Toilets: Permanent,temporary,Girls Toilets: Permanent,temporary,,,
41,MAKUENI,MAKUENI,wote,Makueni,Wote-Nziu,AIC Muthyoi,-1.839566,37.54657,Mixed,147014043304,18307117,RT3L,A.I.C Church,        -,Secondary,Sub county,Public,Registered,,Day & Boarding,Regular,113,170,283,9,3,0,0,1,0,12,1,13,"County QASO, Sub county QASO, C.S.O & T.S.C",      -,8,0,1,0,5,0,10,0,N/A,2.568,0725 171342
42,MAKUENI,MAKUENI,wote,Makueni,Wote,Mwaani Girls,-1.770734,37.66723,Girls,147014043017,18307103,LXRN,A.I.C Church,16.59Ha,Secondary,extra County,Public,Registered,,Boarding,Regular,0,993,205,9,18,0,0,3,4,27,7,34,"CEMASTEA, KNEC & MOE",26,17,0,5,0,0,0,128,0,N/A,5.967,0726 121957
43,MAKUENI,MAKUENI,Mukuyuni,Kaiti,Ukia,St. Peters Kyau,0,0,Mixed,147014043370,18307217,EAF4,A.C.K Church,0.63Ha,Secondary,Sub county,Public,Registered,,Day,Regular,61,74,135,5,1,0,0,1,2,6,3,10,"CSO,DQASO & Auditors",3,4,0,0,1,8,0,4,0,N/A,2.59,0727 481152
44,MAKUENI,MAKUENI,Mukuyuni,Kaiti,Ukia/Iuani,St. Puals,0,0,Boys,1470140430077,18307204,TNH2,ACK Church,0.7Ha,Secondary,County,Public,Registered,,Boarding,Regular,590,0,590,8,6,0,0,5,1,14,6,21,"QASO,County QASO, CSO, Director, County & Auditors",12,10,0,1,0,24,0,0,0,N/A,7.605,0715 101 508
45,MAKUENI,MAKUENI,Mukuyuni,Kaiti,Ukia/Iuani,Mukuyuni ,-1.744831,37.462644,Mixed,147014043058,18307203,GVCL,A.I.C Church,2.02Ha,Secondary,Sub county,Public,Registered,,Day & Boarding,Regular,253,255,508,8,9,0,0,0,2,17,2,19,"MOE, Church(Sponnsor), MOH & Ministry of Works",12,8,0,1,0,16,0,14,0,N/A,4.814,0734 648 936
46,MAKUENI,MAKUENI,Mukuyuni,Kaiti,Ukia/Iuani,Utaati ACK,-1.782284,37.497724,Mixed,147014043025,18307212,2SEA,A.C.K Church,0.38Ha,Secondary,Sub county,Public,Registered,,Day,Regular,34,40,74,7,2,0,0,0,0,9,0,9,"CSO,DQASO & Auditors",3,0,4,1,0,1,0,1,0,N/A,3.4,0727 702 603
47,MAKUENI,MAKUENI,Mukuyuni,Kaiti,Ukia,St. Francis Kiuukuni,-1.800442,37.476777,Mixed,147014043359,18307215,TB94,ACK Church,0.91Ha,Secondary,Sub county,Public,Registered,,Day,Regular,73,62,135,4,2,0,0,2,1,6,3,9,"DQASO, County QASO,C.S.O & TSC Deputy Director",6,1,3,1,0,6,0,5,0,N/A,2.929,0728 093614
48,MAKUENI,MAKUENI,Mulaani,Makueni,Muvau/Kikumini,Kambi Mawe  ,-1.84855,37.65783,Mixed,147014043345,18307109,PRJ5,B.O.M,7.28Ha,Secondary,Sub county,Public,Registered,,Day & Boarding,Intergrated,29,308,337,10,8,0,0,0,0,18,0,18,QASO & M.O.E,14,8,0,2,0,6,0,14,0,N/A,4.831,0714 660128
51,MAKUENI,Mbooni West,KALAWANI,MBOONI,TULIMANI,KWAITHI S.A,1.59546,37.39976,Mixed,3357,18323318,6SMZ,S/ARMY,0.04 Ha,Secondary,Public,Public,Registered,,Day,Regular,79,101,180,1,4,0,0,3,1,5,7,12,"SCQASO,SCTSC DIRECTOR",2,4,0,0,1,8,0,6,0,N/A,,0722535530s
52,MAKUENI,Mbooni West,TULIMANI,MBOONI,TULIMANI,NDOO,-1.600312,37.448572,Mixed,3050,18323303,Z942,S/ARMY,16 ACRES,Secondary,Public,Public,Registered,,Day & Boarding ,Regular,153,105,258,10,2,0,0,1,3,12,4,16,"COUNTY,SUB-COUNTY",9,9,1,0,0,7,0,9,0,N/A,,0719237834
53,MAKUENI,Mbooni West,KALAWANI,MBOONI,TULIMANI,UTUMONI,-1.629705,37.437743,Mixed,3217,18323314,K295,N/A,1.00 Ha,Secondary,Public,Public,Registered,,Day,Regular,55,87,142,4,3,0,0,1,0,7,1,8,KESSHA,4,5,0,0,2,4,0,3,0,N/A,,0722923831
54,MAKUENI,Mbooni West,KALAWANI,MBOONI,TULIMANI,TUTUTHA,-1.583781,37.41385,Mixed,3063,18323306,VX74,N/A,12 ACRES,Secondary,Public,Public,Registered,,Day & Boarding ,Regular,465,428,893,10,6,0,0,3,7,16,10,26,MOTIVATIONS,12,16,0,6,0,32,0,8,0,N/A,,0726437225
55,MAKUENI,Mbooni West,KALAWANI,MBOONI,TULIMANI,MAVINDU,-1.615466,37.414207,Mixed,3057,18323305,FTTN,DEB,2.689 Ha,Secondary,Public,Public,Registered,,Day & Boarding ,Regular,180,208,388,11,5,0,0,0,0,16,0,16,MOE,9,8,0,2,0,10,0,18,0,N/A,,0721403441
56,MAKUENI,Mbooni West,KALAWANI,MBOONI,TULIMANI,KYANGUMA,-1.60781,37.435197,Mixed,3268,18323312,BFSZ,N/A,5 Ha,Secondary,Public,Public,Registered,,Day,Regular,256,233,489,9,3,0,0,2,2,12,4,16,DQAS,4,8,0,1,0,14,0,14,0,N/A,,0705018527
57,MAKUENI,Mbooni West,KITHUNGO,MBOONI,KITHUNGO/KITUNDU,NGAI HGM SEC,-1.70649,37.5003,Mixed,3115,18323204,93CA,CATHOLIC,1.6 Ha,Secondary,Public,Public,Registered,,Day & Boarding ,Regular,196,200,396,6,4,0,0,2,1,10,3,13,MINISTRY,12,7,0,1,0,11,0,14,0,N/A,,0726550931
58,MAKUENI,Mbooni West,MBOONI,MBOONI,MBOONI,KIKIINI,-1.637903,37.395305,Mixed,9386,183233108,EBZQ,AIC,2.5 Ha,Secondary,Public,Public,Registered,,Day,Regular,157,153,310,5,6,0,0,2,0,11,2,13,"DQASO, CQASO,COUNTY, SUB-COUNTY",8,8,0,1,0,6,0,8,0,N/A,,0725910168
59,MAKUENI,Mbooni West,MBOONI,MBOONI,MBOONI,UKALA,-1.66607,37.409984,Mixed,3354,18323113,NRS5,AIC,1.6 Ha,Secondary,Public,Public,Registered,,Day,Regular,139,138,277,3,1,0,0,2,2,4,4,8,QASO,3,4,0,0,0,6,0,6,0,N/A,,0726834249
60,MAKUENI,Mbooni West,MBOONI,MBOONI,KITHUNGO/KITUNDU,ACK ST. JOSEPH'S KYANDOTE,-1.696546,37.465631,Mixed,3228,18323208,57L3,ACK,5.0 Ha,Secondary,Public,Public,Registered,,Day,Regular,71,77,148,4,3,0,0,1,1,7,1,8,MINISTRY,5,6,0,1,0,8,0,11,0,N/A,,0727237804
61,MAKUENI,Mbooni West,MBOONI,MBOONI,KYUU/NZEVENI,NZEVENI,-1.650577,37.42635,Mixed,3066,18323103,WXXD,AIC,,Secondary,Public,Public,Registered,,Day & Boarding ,Regular,179,165,344,8,5,0,0,2,3,13,5,18,"CEMASTIA,KEMI",10,9,0,1,0,20,0,20,0,N/A,,0714693078
62,MAKUENI,Mbooni West,TULIMANI,MBOONI,TULIMANI,ITETANI BOYS,-1.581461,37.389922,Boys,3020,18323301,AWCY,S/ARMY,4.8 Ha,Secondary,Public,Public,Registered,,Boarding,Regular,222,N/A,222,9,2,0,0,1,1,11,2,13,EDUC. OFFICERS,11,8,0,1,0,12,0,N/A,N/A,N/A,,0721311242
63,MAKUENI,Mbooni West,KITUNDU,MBOONI,KITUNDU,KILYUNGI ,-1.676743,37.46302,Mixed,3180,18323206,7VPC,A.B.C,0.5 Ha,Secondary,Public,Public,Registered,,Day,Regular,151,156,307,5,6,0,0,3,0,11,3,14,"TSC-SCD,DQASO,AUDIT UNIT",4,6,0,2,0,4,0,10,0,N/A,,0721973139
64,MAKUENI,Mbooni West,MUTITU,MBOONI,MBOONI,MUTITU S.D.A,-1.658455,37.452138,Mixed,N/A,18323107,PCW6,S.D.A,8 Ha,Secondary,Public,Public,Registered,,Day & Boarding ,Regular,56,69,125,0,0,0,0,3,5,0,8,8,"AUDIT DEPT,AAA",9,9,0,6,0,4,0,4,0,N/A,,0722642463
65,MAKUENI,Mbooni West,TULIMANI,MBOONI,TULIMANI,WANZAUNI,-1.555704,37.403587,Mixed,3251,18323313,XY4C,DEB,1.2 Ha,Secondary,Public,Public,Registered,,Day,Regular,67,70,137,4,2,0,0,1,2,6,3,9,QASO,5,4,0,1,0,8,0,8,0,N/A,,0725070275
66,MAKUENI,Mbooni West,TULIMANI,MBOONI,TULIMANI,ABC WATINENI,0,0,Mixed,3044,18323302,88GH,ABC,,Secondary,Public,Public,Registered,,Day & Boarding ,Regular,179,175,354,10,5,0,0,3,0,15,3,18,"QASO,COUNTY QASO",15,8,0,2,0,12,0,12,0,N/A,,0728856284
67,MAKUENI,Mbooni West,KITUNDU,MBOONI,KITUNDU/KITHUNGO,UTANGWA,-1.70646,37.444168,Mixed,3032,18323201,2P53,CATHOLIC,8 Ha,Secondary,Public,Public,Registered,,Day & Boarding ,Regular,316,272,588,12,9,0,0,2,2,21,2,23,QASO,15,10,0,1,0,10,0,12,0,N/A,,0716087218
68,MAKUENI,Mbooni West,KITUNDU,MBOONI,KITUNDU/KITHUNGO,ITITU AIC SEC,-1.746993,37.723083,Mixed,3122,18323209,2ALK,AIC,2.5 Ha,Secondary,Public,Public,Registered,,Day,Regular,72,69,141,5,2,0,0,1,1,7,2,9,"TSC,MOE,COUNTY,SUB COUNTY",3,0,4,1,0,6,0,5,0,N/A,,0712507536
69,MAKUENI,Mbooni West,MBOONI,MBOONI,MBOONI,MBOONI BOYS,-1.627631,37.466191,Boys,9207,18323102,5VB6,AIC,14.78 Ha ,Secondary,Public,Public,Registered,,Boarding,Regular,1406,N/A,1406,29,5,0,0,12,6,34,18,52,"TSC,MOE",28,24,0,1,3,,,N/A,N/A,N/A,,0721384705
70,MAKUENI,Mbooni West,KITUNDU,MBOONI,KITUNDU/KITHUNGO,SYATHANI,-1.687311,37.489833,Mixed,3236,18323211,B5EF,GNCA,0.27 Ha,Secondary,Public,Public,Registered,,Day,Regular,45,86,131,4,1,0,0,3,0,5,3,8,ADMINISTRATION,3,5,0,1,0,1,0,1,0,N/A,,0727692041
71,MAKUENI,Mbooni West,KITUNDU,MBOONI,KITUNDU/KITHUNGO,KITUNDU,-1.688694,37.471179,Mixed,3051,18323203,3MPH,SDA,1.6 Ha,Secondary,Public,Public,Registered,,Day & Boarding ,Regular,119,187,306,12,3,0,0,0,1,15,1,16,"COUNTY,SUB-COUNTY",9,15,0,2,0,8,0,12,0,N/A,,0720903203
72,MAKUENI,Mbooni West,KITHUNGO,MBOONI,KITUNDU/KITHUNGO,KITHUNGO,-1.667216,37.505489,Mixed,3078,18323209,EBTP,,3 ACRES,Secondary,Public,Public,Registered,,Day & Boarding ,Regular,126,118,244,5,3,0,0,2,0,8,2,10,"KESSHA,TSC,MINISTRY,KNEC",7,6,0,1,0,10,0,12,0,N/A,,0722939782
73,MAKUENI,Mbooni West,KALAWANI,MBOONI,TULIMANI,MULOONI,-1.606184,37.473276,Mixed,3081,18323304,6BE9,,1.46Ha,Secondary,Public,Public,Registered,,Day & Boarding ,Regular,249,216,465,12,4,0,0,5,2,16,7,23,MINISTRY,18,12,0,4,0,12,0,8,0,N/A,,0716151110
74,MAKUENI,Mbooni West,MBOONI,MBOONI,MBOONI,KINYEE,-1.632207,37.418787,Mixed,3329,18323110,8F59,,2.57 Ha,Secondary,Public,Public,Registered,,Day,Regular,122,103,225,3,1,0,0,4,3,4,7,11,"MOE,TSC,KESSHA,KNUT,KUPPET",6,4,1,1,0,3,0,3,0,N/A,,0721431478
75,MAKUENI,Mbooni West,KITHUNGO,MBOONI,KITHUNGO/KITUNDU,ACK ST STEPHEN KATHEMBONI,-1.659136,37.487348,Mixed,3347,183232,JM92,ACK,0.0005Ha,Secondary,Public,Public,Registered,,Day,Regular,96,77,173,4,1,0,0,2,1,5,3,8,"QASO,CSO, COUNTY, SUB - COUNTY",4,4,0,N/A,N/A,4,0,4,0,N/A,,0720248355
76,MAKUENI,Mbooni West,Kalawani,Mbooni,Tulimani,Imale,0,0,Boys,3248,18323311,BKPJ,CEB,4HA,Secondary,Public,Public,Registered,,Boarding,Regular,306,0,306,8,5,0,0,0,0,13,0,13,"CQASO, QASO & TSC-QASO",13,8,0,2,0,17,0,0,0,N/A,,0720992168
77,MAKUENI,Mbooni West,Tulimani,Mbooni,Tulimani,Itetani Girls,-1.581498,37.389908,Girls,3277,18323316,VHDL,Salvation Army,,Secondary,Public,Public,Registered,,Boarding,Regular,0,188,188,1,4,0,0,3,3,5,6,11,"SCQASO,CQASO,County Auditor/SCA & TSC-CD/CDE",10,5,0,1,0,0,0,10,0,N/A,,0714378213
78,MAKUENI,Mbooni West,Kithungo,Mbooni,Kithungo/Kitundu,Kusyongali,-1.627199,37.495794,Mixed,3192,18323207,M3UC,ABC,2.012HA,Secondary,Public,Public,Registered,,Day,Regular,18,19,37,4,2,0,0,2,1,6,3,9,SCQASO,2,4,0,0,0,4,0,4,0,N/A,,0725270072
79,MAKUENI,Mbooni West,Kithungo,Mbooni,Kitundu,Mumani High,-1.727207,37.476884,Mixed,3218,18323212,AL6C,CEB,2.02HA,Secondary,Public,Public,Registered,,Day,Regular,84,110,194,6,3,0,0,0,1,9,1,10,"SCQASO,CQASO & TSC-CD/CDE",5,7,0,0,0,12,0,11,0,N/A,,0722458300
80,MAKUENI,Mbooni West,Mbooni,Mbooni,Mbooni,Mbooni AIC Girls,-1.62248,37.466361,Girls,3191,18323109,44PD,AIC,3.5HA,Secondary,Public,Public,Registered,,Boarding,Regular,0,379,379,3,7,0,0,1,1,10,2,12,"KSSHA,KEMI,TSC,Audit officials & SCQASO",9,6,0,1,0,0,0,16,0,N/A,,0722707276
81,MAKUENI,Mbooni West,Kyuu,Mbooni,Kyuu,Kikima,-1.661383,37.449145,Mixed,3048,18323105,,AIC,,Secondary,Public,Public,Registered,,Day/Boarding,Regular,537,410,947,12,12,0,0,4,0,24,4,28,SC-KSSHA & KNEC,19,15,0,3,0,18,0,10,0,N/A,,0713277193
82,MAKUENI,Mbooni West,Kalawani,Mbooni,Tulimani,Malaa,-1.582961,37.458445,Mixed,3188,18323309,7C6X,CEB,3.89HA,Secondary,Public,Public,Registered,,Day/Boarding,Regular,138,192,330,4,3,0,0,2,4,7,6,13,"SCD-TSC,SCDE & SCQASO",9,7,0,1,0,9,0,9,0,N/A,,0727443766
83,MAKUENI,Mbooni West,Tulimani,Mbooni,Tulimani,Kyamithenge,-1.565324,37.369199,Mixed,3173,18323310,LY6H,ABC,2.4HA,Secondary,Public,Public,Registered,,Day,Regular,86,92,178,4,2,0,0,1,1,6,2,8,SCQASO,6,4,0,1,0,5,0,6,0,N/A,,0729427726
84,MAKUENI,Mbooni West,Mbooni,Mbooni,Mbooni,Kyuu,-1.671374,37.424667,Mixed,3073,18323104,U3EM,AIC,2HA,Secondary,Public,Public,Registered,,Day/Boarding,Regular,234,250,484,10,8,0,0,1,0,18,1,19,"TSC, MOE KESSHA & KUPPET ",16,12,0,2,0,12,0,19,0,N/A,,0722221894
85,MAKUENI,Mbooni West,Kalawani,Mbooni,Tulimani,Kitoo ABC Mixed,-1.618073,37.422496,Mixed,,,PS8W,ABC,3.016HA,Secondary,Public,Public,Registered,,Day/Boarding,Regular,209,204,213,8,6,0,0,2,0,14,2,16,"SCQASO, SCDE & CDE",10,8,0,1,0,10,0,10,0,N/A,,0713277186
86,MAKUENI,Mbooni West,Mbooni,Mbooni,Mbooni,Mukaatini,-1.642925,37.46776,Mixed,3064,18323106,T5PF,AIC,8HA,Secondary,Public,Public,Registered,,Day/Boarding,Regular,96,84,180,4,2,0,0,1,0,6,1,7,MOE & Examiners,4,1,3,1,0,6,0,5,0,N/A,,0722499752
87,MAKUENI,Mbooni West,Mbooni,Mbooni,Mbooni,Syiluni,-1.642162,37.409059,Mixed,,,6NYH,,1HA,Secondary,Public,Public,Registered,,Day,Regular,98,117,125,4,0,0,0,4,1,4,5,9,"Education officials, MOE/TSC",4,4,0,1,0,4,0,12,0,N/A,,0727338410
88,MAKUENI,Mbooni West,Tulimani,Mbooni,Tulimani,Uvaani,-1.548633,37.429859,Mixed,3230,18323308,FUHU,AIC,5.0HA,Secondary,Public,Public,Registered,,Day,Regular,75,84,159,5,4,0,0,0,1,9,1,10,"SCQASO,CQASO & TSC-CD/CDE",5,5,0,1,0,4,0,4,0,N/A,,0735420973
90,MAKUENI,Mbooni West,Kithungo,Mbooni,Kithungo/Kitundu,Uvuu,-1.550928,37.49694,Mixed,3349,18323212,886D,CEB,1.5HA,Secondary,Public,Public,Registered,,Day,Regular,30,28,58,4,1,0,0,1,1,5,2,7,"SCQASO,CQASO, CSO & TSC-CD/CDE",3,3,0,0,0,2,0,3,0,N/A,,0704543700
91,MAKUENI,Mbooni West,Mbooni,Mbooni,Mbooni,Mbooni Girls,-1.649656,37.451958,Girls,3011,18300016,2C7G,Catholic,30ha,Secondary,Public,Public,Registered,,Day,Regular,0,920,920,13,18,0,0,3,6,31,9,40,"MOE, TSC & BOM",26,21,0,5,0,0,0,73,0,N/A,,0720788273
93,MAKUENI,Mbooni West,Kitundu,Mbooni,Kithungo/Kitundu,Utangwa Girls,-1.684391,37.44597,Girls,3256,18323009,EKNV,AIC,1.04HA,Secondary,Public,Public,Registered,,Boarding,Regular,0,85,85,7,5,0,0,3,2,12,5,17,"SCQASO,CQASO & TSC-CD/CDE",11,4,0,1,0,0,0,28,0,N/A,,0712925387
94,MAKUENI,KIBWEZI,Kambu,Kibwezi East,Mtito Andei,Darajani Boys,-2.586487,38.121368,Boys,147014043032,18325103,3U4F,CEB,0.711Ha,Secondary,County,Public,Registered,,Day & Boarding,Regular,382,0,382,8,4,0,0,3,1,12,4,16,M.O.E,13,9,0,3,0,31,0,0,0,N/A,4.593,0710 694465
95,MAKUENI,KIBWEZI,Ngwata,Kibwezi East,Mtito Andei,Canaan,-2.410957,37.967947,Mixed,147014043374,18325133,E9KG,CEB,4.0469Ha,Secondary,Sub County,Public,Registered,,Day  ,Regular,80,91,171,4,1,0,0,3,1,5,4,9,     - ,4,4,0,0,0,2,0,4,0,N/A,2.36,0723 791116
96,MAKUENI,KIBWEZI,Kambu,Kibwezi East,Ivingoni - Nzambani,Iiani,-2.645275,38.026214,Boys,147014043106,18325106,BEJX,CEB,3.29Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,393,0,393,9,5,0,0,4,0,14,4,18,M.O.E,9,8,0,1,0,19,0,0,0,N/A,3.892,0724 200 213
97,MAKUENI,KIBWEZI,Kathyaka,Kibwezi West,,ITHUMULA,-2.402316,38.011431,Mixed,147014043257,18325211,SYVJ,CEB,11.8Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,159,168,327,7,2,0,0,5,2,9,7,16,SCDE,6,8,0,3,0,11,0,11,0,N/A,3.783,0721 213 134
98,MAKUENI,KIBWEZI,Ngwata,Kibwezi East,Masongaleni,Ititi,-2.464041,38.127991,Mixed,147014043314,18325128,2FTS,CEB,3.237Ha,Secondary,Sub County,Public,Registered,,Day,Regular,108,105,213,6,1,0,0,1,2,7,3,10,"SCDE, TSC, SCD,CSO, DQASO,CSA & PHO",7,5,0,3,0,12,0,8,0,N/A,3.154,0726 407045
99,MAKUENI,KIBWEZI,Nthongoni,Kibwezi East,Mangelete-Nzambani,Ivingoni,-2.649968,38.074845,Mixed,147014043083,18325107,NATT,CEB,8Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,107,103,210,4,4,0,0,1,0,8,1,9,DQUASO Officers & Security officers,9,4,0,1,0,8,0,8,0,N/A,2.75,0721 357848
100,MAKUENI,KIBWEZI,Mtito Andei,Kibwezi East,Mtito Andei,Joanna Chase,-2.691922,38.169089,Mixed,147014013033,18325101,9MJZ,CEB,5.15Ha,Secondary,County,Public,Registered,,Day & Boarding,Regular,299,129,428,7,8,0,0,4,0,15,4,19,"TSC, MOE & KSSHA",11,11,0,3,0,23,0,8,0,N/A,4.429,0724 801477
101,MAKUENI,KIBWEZI,Kibwezi,Kibwezi West,Kikumbulyu South,Kalulini Boys,-2.351976,37.997312,Boys,1470144043016,18325201,CEK8,CEB,23.5Ha,Secondary,Extra County,Public,Registered,,Boarding,Regular,1122,0,1122,22,12,0,0,8,2,34,10,44,"DQASO Kibwezi,MOE, SCDE Kibwezi, TSC,SCD Kibwezi",25,19,0,5,0,65,0,0,0,N/A,6.265,0718 718366
102,MAKUENI,KIBWEZI,Maikuu,Kibwezi East,Thange,Kalulu,-2.56083,38.046649,Mixed,147014043234,18325311,759C,CEB,3.24Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,97,115,212,7,1,0,0,1,1,8,2,10,DQASO & CSO,6,5,0,1,0,6,0,8,0,N/A,3.676,0722 458415
103,MAKUENI,KIBWEZI,Kibwezi,Kibwezi West,Kikumbulyu South,Kalungu,-2.348931,37.945049,Mixed,147014043280,18325212,RXG3,CEB,1.45Ha,Secondary,Sub County,Public,Registered,,Day,Regular,160,149,309,6,3,0,0,2,1,9,3,12,"QASO, CSO, Auditor, TSC, MOE, & KESSHA",5,7,0,1,0,10,0,5,0,N/A,3.475,0721 629401
104,MAKUENI,KIBWEZI,Kambu,Kibwezi East,Mtito Andei,Kamulalani,-2.560631,38.073148,Mixed,147014043276,18325123,ROBA7O,CEB,6Ha,Secondary,Sub County,Public,Registered,,Day,Regular,133,80,213,8,3,0,0,0,1,11,1,12,"SCDE, DQASO, TSC & CSO",7,6,0,1,0,10,0,5,0,N/A,2.443,0727 697538
105,MAKUENI,KIBWEZI,Nthongoni,Kibwezi East,Ivingoni - Nzambani,Kasue Girls,-2.691837,38.019767,Girls,147014043255,18325117,UVBJ,CEB,4.37Ha,Secondary,County,Public,Registered,,Boarding,Regular,0,432,432,7,7,0,0,1,2,14,3,17,CQASO & SCQASO,16,9,0,2,0,0,0,16,0,N/A,4.809,0723 930446
106,MAKUENI,KIBWEZI,Mtito Andei,Kibwezi East,Mtito Andei,Kathekani,-2.626955,38.145562,Mixed,1470140432085,18325105,LM9W,CEB,29Ha,Secondary,County,Public,Registered,,Day & Boarding,Regular,196,180,376,8,7,0,0,1,0,15,1,16,M.O.E,9,8,0,1,0,10,0,10,0,N/A,3.724,0722 575459
107,MAKUENI,KIBWEZI,Kathyaka,Kibwezi West,Kikumbulyu West,Kathyaka,-2.266416,37.988131,Mixed,147014043168,18325204,77R3,CEB,7.65Ha,Secondary,County,Public,Registered,,Day & Boarding,Regular,141,173,314,6,4,0,0,2,1,10,3,13,"QASO, CS0 & SDCE",10,8,0,2,0,8,0,4,0,N/A,3.938,0712 008037
108,MAKUENI,KIBWEZI,Kathyaka,Kibwezi North,Kikumbulyu North,Kiaoni,-2.205643,38.050236,Mixed,147014043138,18325204,CMWF,CEB,3.6421,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,167,151,318,8,4,0,0,2,1,12,3,15,"MOEST, TSC & KNEC",13,8,0,1,0,16,0,16,0,N/A,4.16,0721 360400
109,MAKUENI,KIBWEZI,Kathyaka,Kibwezi West,Kikumbulyu North,Kisayani,-2.327196,38.013814,Mixed,147014043143,18325205,       -,CEB,8,Secondary,County,Public,Registered,,Day & Boarding,Regular,471,211,682,12,15,0,0,4,0,27,4,31,"MOE/TSC, Quality Assurance officers",17,12,0,2,0,         -,0,        -,0,N/A,5.112,0710 696377
110,MAKUENI,KIBWEZI,Ngwata,Kibwezi East,Mtito Andei,Kiteng'ei,-2.54994,38.135285,Mixed,147014043170,18325115,UCS2,CEB,5.16Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,228,281,509,7,2,0,0,9,1,9,10,20,"TSC(SCD, TSC), MOE(SCDE) & CSO",6,10,0,1,0,7,0,7,0,N/A,3.13,0725 588639
111,MAKUENI,KIBWEZI,Maikuu,Kibwezi East,Thange,Kithasyu ,-2.501005,37.944583,Mixed,147014043352,18325318,QJ54,CEB,2.43Ha,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,121,189,310,3,5,0,0,2,0,8,2,10,QASO &CSO,7,6,0,0,1,6,0,14,0,N/A,3.424,0721 857827
112,MAKUENI,KIBWEZI,Kathyaka,Kibwezi West,Kikumbulyu North,Kisayani Girls,-2.327141,38.013751,Girls,N/A,N/A,4WFR,N/A,5.18Ha,Secondary,Sub County,Public,N/A,,Day,Regular,0,106,106,0,1,0,0,0,0,1,0,1,MOE/TSC & Quality Assurance officers,0,8,0,0,0,0,0,6,0,N/A,NEW,0736 169965
113,MAKUENI,KIBWEZI,Nthongoni,Kibwezi East,Ivingoni - Nzambani,Kithingiisyo,-2.706391,38.053435,Mixed,147014043105,18325104,YR2A,CEB,8Ha,Secondary,County,Public,Registered,,Day & Boarding,Regular,216,146,362,7,4,0,0,2,0,11,2,13,"MOE officials, TSC officials & Interior ministry",9,10,2,2,0,6,0,8,0,N/A,3.2,0726 600856
114,MAKUENI,KIBWEZI,Ulilinzi,Kibwezi East,Masongaleni,Kithyululu,-2.401218,38.17541,Mixed,147014043241,18325309,W9ze,CEB,6Ha,Secondary,County,Public,Registered,,Day & Boarding,Regular,233,250,483,9,4,0,0,9,6,13,15,28,"MOE,TSC",14,10,0,1,0,17,0,15,0,N/A,3.08,0726 967394
115,MAKUENI,KIBWEZI,Nthongoni,Kibwezi East,Ivingoni - Nzambani,Kiuani ,-2.028808,37.452395,Mixed,147014043289,18325122,BZER,CEB,7,Secondary,Sub County,Public,Registered,,Day & Boarding,Regular,129,163,292,7,3,0,0,3,1,10,4,14,"MOE/TSC, CEMASTEA & County Education office",6,5,1,2,0,6,0,6,0,N/A,2.32,0724 888467
116,MAKUENI,KIBWEZI,Nthongoni,Kibwezi East,Ivingoni - Nzambani,Kiundwani,-2.340836,37.872407,Mixed,N/A,18325116,PFGD,CEB,1.76Ha,Secondary,Sub County,Public,Registered,,Day,Regular,63,88,151,2,1,0,0,3,2,3,5,8,"sub county QASO, County KESSHA & County government of Makueni",3,4,0,1,0,2,0,3,0,N/A,1.875,0712 296335
117,MAKUENI,KIBWEZI,Maikuu,Kibwezi,Thange,Kivuthini,-2.535255,38.023108,Mixed,147014043179,18325307,6N22,CEB,12Ha,Secondary,County,Public,Registered,,Day & Boarding,Regular,385,316,701,10,10,0,0,2,7,20,9,29,MOE/TSC,21,12,2,2,1,17,0,12,0,N/A,4.156,0723 380322
