subcounty,Boys_form1_2015,Girls_form1_2015,Boys_form2_2015,Girls_form2_2015,Boys_form3_2015,Girls_form3_2015,Boys_form4_2015,Girls_form4_2015
Kathonzweni,986,1238,1112,1201,960,1150,840,884
Kibwezi,2023,1853,1916,1748,1720,1556,1454,1254
Kilungu,870,800,756,720,714,786,706,724
Makindu,702,789,673,800,577,682,514,474
Makueni,1707,1748,1632,2757,1626,1638,1379,1487
Mbooni East,1077,1110,1144,1115,1046,1075,965,1013
Mbooni West,1392,1491,1384,1534,1358,1357,1131,1095
Mukaa,1770,1477,1604,1506,1548,1185,1249,1031
Nzaui,1703,2046,1605,1853,1520,1626,1225,1311
