subcounty,Boys_form1_2018,Girls_form1_2018,Boys_form2_2018,Girls_form2_2018,Boys_form3_2018,Girls_form3_2018,Boys_form4_2018,Girls_form4_2018
Kathonzweni,1329,1452,1180,1285,1095,1309,1042,1128
Kibwezi,2347,2442,2150,2209,1980,2117,1809,1758
Kilungu,944,1046,842,867,828,763,781,748
Makindu,815,1145,673,983,656,811,644,567
Makueni,1986,2028,1720,1834,1671,1838,1629,1850
Mbooni East,1261,1418,1085,1166,1025,1115,984,1116
Mbooni West,1746,1584,1518,1469,1419,1553,1356,1365
Mukaa,1915,1494,1770,1400,1703,1336,1654,1245
Nzaui,1969,2110,1752,1892,1552,1873,1541,1864
