subcounty,Boys_form1_2016,Girls_form1_2016,Boys_form2_2016,Girls_form2_2016,Boys_form3_2016,Girls_form3_2016,Boys_form4_2016,Girls_form4_2016
Kathonzweni,1062,1199,1039,1284,1028,1182,976,965
Kibwezi,2121,2057,2038,1998,1891,1698,1579,1499
Kilungu,909,816,914,838,744,747,695,762
Makindu,723,848,689,765,577,782,566,555
Makueni,1690,1797,1739,1812,1598,1748,1575,1539
Mbooni East,1123,1270,1111,1199,1160,1135,1090,1107
Mbooni West,1454,1508,1452,1577,1389,1484,2111,1248
Mukaa,1790,1479,1810,1448,1703,1396,1449,1076
Nzaui,1613,1896,1669,1940,1542,1811,1414,1511
